,graph,reward,trialNumber,trial_index,visited_nodes,difficulty,difficulty_2,unchoosen_diff,type,wid,RT_first_visit,RT_second_visit,RT,max_reward,current_reward,loss,accuracy,accuracy_1,df
5422,"[[3, 8], [6, 4], [], [7, 5], [], [], [4], [], [2, 9], []]","[None, 1, 3, -4, -1, 2, 0, -1, 1, 0]",144,149,"{0, 8, 2}",6,1.0,3.0,best_second,wb651fe0,8.031710375322042,6.78332520060396,8.28374674710613,4,4,0,1,1,2
5424,"[[4, 8], [], [1], [], [5, 9], [], [2, 1], [], [3, 7], []]","[None, 0, 0, -3, -2, -1, -3, -1, 2, 4]",146,151,"{0, 8, 7}",3,3.0,5.0,best_min,wb651fe0,7.824445930877619,7.4673710669175595,8.354674261918463,2,1,1,0,0,2
5426,"[[7, 9], [], [], [2, 5], [8, 1], [], [3, 0], [], [1], []]","[2, -4, 2, 0, 4, 0, None, -4, 4, 1]",148,153,"{0, 6, 7}",3,1.0,2.0,best_min,wb651fe0,7.724446645633537,6.835184586147301,8.068402958569699,3,-2,5,0,1,2
5428,"[[6], [], [0, 6], [], [], [], [], [9, 8], [1, 3], [4, 5]]","[0, -4, 0, 4, 4, -2, 1, None, 2, -3]",150,155,"{8, 3, 7}",8,2.0,6.0,best_third,wb651fe0,7.890208213109961,7.407924322559599,8.3707791729607,6,6,0,1,1,2
5430,"[[9], [], [], [], [], [0, 9], [7, 8], [4, 1], [3, 2], []]","[1, -3, -3, 2, 1, 3, None, 0, 2, 1]",152,157,"{8, 3, 6}",5,5.0,4.0,best_third,wb651fe0,8.203577736937952,6.762729506931879,8.415824697027949,4,4,0,1,1,2
5432,"[[7, 6], [2, 9], [], [1, 8], [], [], [], [6], [5, 4], []]","[-3, -4, -1, None, 4, -3, -3, 2, 4, 2]",154,159,"{8, 3, 4}",10,0.0,3.0,best_second,wb651fe0,7.708410667257367,7.647308832356238,8.371242135931933,8,8,0,1,1,2
5434,"[[8, 7], [], [], [], [], [], [3], [5, 1], [2, 4], [6, 3]]","[None, -2, 2, -4, 0, 3, -1, 2, -4, 2]",156,161,"{0, 5, 7}",7,4.0,2.0,best_second,wb651fe0,7.7226775164680035,7.187657164114955,8.183397369998431,5,5,0,1,1,2
5436,"[[5, 3], [], [], [], [], [3], [8, 7], [2, 4], [9, 1], []]","[2, -1, -4, -3, -3, 1, None, -2, 1, -2]",158,163,"{8, 9, 6}",4,2.0,1.0,best_second,wb651fe0,8.594154232552366,6.597145701886651,8.721276239991704,0,-1,1,0,1,2
5438,"[[1], [], [], [], [], [], [2, 5], [6, 9], [0, 1], [4, 3]]","[-1, -3, 4, 0, 1, 2, 4, None, -4, -2]",160,165,"{2, 6, 7}",7,2.0,1.0,best_second,wb651fe0,7.566311014772463,7.516433302915632,8.234564993267137,8,8,0,1,1,2
5440,"[[7, 6], [2, 5], [4, 9], [], [], [3, 8], [], [6], [], []]","[3, None, -4, 2, -1, 4, -3, -1, -2, 1]",162,167,"{1, 3, 5}",8,6.0,2.0,best_second,wb651fe0,7.832807516524865,7.581209826196346,8.407824654360873,6,6,0,1,1,2
5442,"[[2, 8], [], [1, 3], [], [], [], [5], [6, 5], [4, 9], []]","[None, 1, -1, -2, -3, 1, -4, -2, -2, 1]",164,169,"{0, 1, 2}",3,1.0,4.0,best_third,wb651fe0,8.754002933494261,6.804614520062623,8.886962034866128,0,0,0,1,1,2
5444,"[[9, 7], [5, 6], [8, 3], [], [1, 2], [], [], [], [], [7]]","[-1, -3, 4, -1, None, 4, -1, 4, 4, -2]",166,171,"{8, 2, 4}",8,5.0,5.0,best_second,wb651fe0,7.728855823852543,6.551080335043405,7.996990405837649,8,8,0,1,1,2
5446,"[[4, 2], [], [], [9, 7], [2], [], [], [6, 1], [], [8, 5]]","[-4, -2, -2, None, 4, 2, 3, -3, 0, -3]",168,173,"{3, 6, 7}",3,1.0,2.0,best_min,wb651fe0,8.65799806800726,7.553810852008231,8.944158830970403,0,0,0,1,1,2
5448,"[[2], [4, 3], [], [6, 7], [5, 8], [], [], [], [], [0, 2]]","[-3, None, -3, 4, -4, -3, 3, -1, -4, -2]",170,175,"{1, 3, 6}",11,5.0,1.0,best_second,wb651fe0,7.549082710812286,6.771935555839602,7.9269635448629785,7,7,0,1,1,2
5450,"[[5, 7], [], [1, 4], [0, 2], [], [], [8, 9], [], [9], []]","[4, -3, 1, None, -2, -4, -2, 4, -4, 4]",172,177,"{0, 3, 7}",9,0.0,1.0,best_second,wb651fe0,7.512071245835466,6.895682697747867,7.943427767876373,8,8,0,1,1,2
5452,"[[], [4], [], [1, 4], [], [9, 8], [], [], [6, 2], [7, 0]]","[3, 1, -4, -4, -3, None, -2, -4, -3, 1]",174,179,"{0, 9, 5}",9,2.0,2.0,best_second,wb651fe0,7.598399329323963,6.901737206656573,8.002359546252707,4,4,0,1,1,2
5454,"[[4], [], [3, 7], [], [], [], [9, 2], [], [0, 4], [5, 1]]","[-4, -2, 4, 4, 2, -1, None, -4, -4, -3]",176,181,"{2, 3, 6}",11,8.0,1.0,best_second,wb651fe0,7.873597789685539,6.591673732008658,8.118207049405783,8,8,0,1,1,2
5456,"[[8, 2], [4, 0], [], [6], [9, 7], [3, 6], [], [], [], []]","[3, None, -2, -4, -3, -3, -2, -3, 4, -4]",178,183,"{0, 1, 8}",11,5.0,1.0,best_second,wb651fe0,7.528331766707247,6.22455842927536,7.768110378525989,7,7,0,1,1,2
5458,"[[5, 8], [], [3, 9], [9], [], [4, 1], [], [], [6, 7], []]","[None, 3, -4, 0, -4, -4, 4, -4, 4, 0]",180,185,"{0, 8, 6}",11,8.0,7.0,best_second,wb651fe0,7.776954403322441,6.45833828334479,8.013674142832684,8,8,0,1,1,2
5460,"[[], [8, 7], [], [], [], [0, 2], [3, 4], [], [7], [5, 6]]","[0, -2, -4, 4, -3, -4, 3, 1, 2, None]",182,187,"{9, 3, 6}",11,6.0,4.0,best_second,wb651fe0,7.48605261786314,6.984716320118266,7.959275960116396,7,7,0,1,1,2
5462,"[[], [], [5, 9], [], [], [1, 8], [7, 0], [0], [], [4, 3]]","[2, 3, None, -2, 0, 3, 3, -1, -4, -3]",184,189,"{1, 2, 5}",9,7.0,2.0,best_second,wb651fe0,8.894944460956888,6.775366090936392,9.008224187854049,6,6,0,1,1,2
5464,"[[4], [0, 4], [9, 3], [], [], [7, 6], [], [], [5, 2], []]","[-1, 2, 4, -4, -4, -4, 1, -2, None, 4]",186,191,"{8, 9, 2}",11,8.0,3.0,best_second,wb651fe0,7.226209010100671,6.650279048587422,7.671826797878781,8,8,0,1,1,2
