,graph,reward,trialNumber,difficulty,difficulty_2,type,wid,RT_first_visit,RT_second_visit,RT,max_reward,current_reward,loss,accuracy,accuracy_1,df,unchoosen_diff
2183,"[[], [2], [], [1, 2], [], [], [8, 9], [], [0, 7], [10, 4], []]","[-2, 4, -3, -4, -4, -2, None, 3, 2, -1, -3]",87,8,1.0,best_second,w362e427,8.114623886420098,7.303843225277704,8.482187582217422,5,5,0,1,1,2,1.0
2184,"[[10], [8, 2], [4, 6], [], [], [], [], [0, 10], [3, 5], [], []]","[2, None, -4, -4, -3, 4, 2, 1, 4, 3, -4]",255,11,0.0,best_second,w362e427,7.198931240688173,7.3833681469923835,7.988203597022575,8,8,0,1,1,2,5.0
2186,"[[9, 8], [7, 4], [], [0, 6], [], [], [5, 2], [4], [], [], []]","[0, 2, 0, None, 1, -4, 3, -1, -4, 2, -3]",215,4,3.0,best_third,w362e427,7.79770203551669,7.402451520818244,8.31238059678675,3,-1,4,0,1,2,6.0
2189,"[[], [], [], [10, 0], [], [2, 4], [9, 7], [], [5, 6], [], [0]]","[1, 1, 1, -1, -2, 4, 2, 2, None, 1, 2]",287,2,6.0,best_min,w362e427,7.596894438144544,7.283448228756631,8.145259566516865,5,5,0,1,1,2,1.0
2190,"[[], [], [3, 8], [8], [10, 0], [], [], [4, 9], [], [1, 6], []]","[-2, 0, 3, -1, -4, -4, 1, None, -4, 4, -3]",369,8,3.0,best_second,w362e427,7.5595594960077,7.518607216815251,8.23217423638394,5,4,1,0,1,2,1.0
2191,"[[2, 9], [7, 6], [], [], [1, 0], [], [], [], [10, 5], [], [5]]","[1, -1, -3, 3, None, -4, -3, -4, 0, -4, 1]",277,2,5.0,best_second,w362e427,7.626082758072381,8.21851757748959,8.658519127506672,-2,-2,0,1,1,2,1.0
2193,"[[6, 2], [], [], [], [], [7, 1], [2], [], [10, 4], [8, 5], []]","[0, 0, 3, 4, 3, 2, -2, 1, -4, None, -3]",75,5,2.0,best_second,w362e427,7.687997166393016,7.163946684342547,8.152774052744075,3,3,0,1,1,2,6.0
2196,"[[10, 3], [], [6], [], [7, 9], [4, 0], [], [], [2, 6], [], []]","[3, -3, 1, 3, -3, None, 3, -4, -3, -2, 0]",163,9,0.0,best_second,we76379b,8.03268487596762,7.899153483343098,8.661120360222881,6,6,0,1,1,2,2.0
2197,"[[5, 2], [], [], [], [], [], [], [3], [0, 9], [1, 4], [7, 3]]","[-3, -1, -4, -3, 4, 0, 2, 4, None, 2, 3]",219,9,1.0,best_second,we76379b,8.255828427281829,8.10258642539079,8.875147316853349,6,-3,9,0,0,2,5.0
2198,"[[], [], [], [], [], [3, 2], [7, 5], [4, 0], [9, 10], [10], []]","[-4, -3, -4, -2, 3, -4, None, 3, -3, -4, 2]",55,11,7.0,best_second,we76379b,7.388946097618437,7.762170607138205,8.285765420514329,6,6,0,1,1,2,2.0
2200,"[[8, 4], [], [], [], [], [], [3, 10], [1, 2], [4], [6, 7], []]","[2, 0, -2, 0, 3, -4, -4, 3, -2, None, 1]",375,5,5.0,best_second,we76379b,7.685703061234547,7.958926493050111,8.52456594574565,3,3,0,1,1,2,1.0
2203,"[[7, 2], [10, 4], [], [], [], [8, 9], [1, 0], [], [9], [], []]","[3, -4, -2, -2, -1, -4, None, 1, 1, 3, 2]",215,6,3.0,best_second,we76379b,6.741700694652055,7.824845691026857,8.116118431609367,4,-5,9,0,0,2,3.0
2205,"[[], [3, 2], [], [], [], [], [9], [6, 9], [4, 0], [], [1, 8]]","[-2, 3, 3, 0, 0, 2, 2, -1, 1, 2, None]",173,5,0.0,best_second,we76379b,8.300776960851454,7.186144304522325,8.584290934948733,6,6,0,1,1,2,2.0
2206,"[[], [], [10, 0], [], [7, 2], [9, 1], [], [3, 6], [], [1], []]","[4, -1, -2, 4, None, 3, 0, 1, 0, 0, 2]",249,4,1.0,best_third,we76379b,8.319229938632326,7.10002716662926,8.577911926450945,5,5,0,1,1,2,2.0
2207,"[[7, 4], [], [], [5], [9, 1], [], [], [2, 6], [3, 5], [], []]","[None, 2, -1, 1, 2, 4, -3, -4, -3, -2, -1]",133,8,0.0,best_second,we76379b,7.549082710812286,7.850882664809852,8.404248432400102,4,4,0,1,1,2,2.0
2208,"[[], [], [], [], [], [0], [], [5, 0], [4, 3], [10, 8], [2, 1]]","[-4, -3, 4, -1, -2, -3, -1, -4, -3, None, 3]",61,10,6.0,best_second,we76379b,7.85748078694253,7.585281078639126,8.423541635334782,7,7,0,1,1,2,1.0
2209,"[[], [], [9, 4], [], [3, 10], [], [5], [], [6, 5], [1, 7], []]","[-4, 4, None, -3, -4, 0, -3, -4, 4, 4, 2]",87,11,8.0,best_second,we76379b,7.805474625270858,7.443078374348516,8.33351070898294,8,8,0,1,1,2,5.0
